
Veggie Crisps,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16
1wk Sept 02 2017,77674,307746,305135,173926,18870,4617,58250,92177,119894,36481,83413,40200,29785,181414,51943,129471,3289
1wk Sept 09 2017,82542,319266,316816,198188,21348,4415,67021,105398,123567,38492,85075,41371,30064,181627,50867,130760,3570
1wk Sept 16 2017,88030,320387,318002,185330,21014,4365,60917,99034,120381,37134,83247,43051,30248,165635,45785,119850,3707
1wk Sept 23 2017,95765,327857,325776,185485,21258,4222,60308,99685,116208,35493,80715,39811,27808,173543,49230,124313,3686
1wk Sept 30 2017,102783,403719,401765,203063,23951,4721,61238,113148,118131,35161,82970,42681,28471,181037,50931,130106,5924
1wk Oct 07 2017,117278,474709,472625,234622,27984,5123,72270,129239,148021,44646,103375,53569,34721,247525,64258,183267,3139
1wk Oct 14 2017,91653,383797,381986,191484,24825,4863,58891,102899,118860,36224,82636,44162,29156,168449,46194,122255,3372
1wk Oct 21 2017,92682,357784,355467,188026,23785,4194,57255,102789,120536,35366,85170,39090,26387,175331,44998,130333,3575
1wk Oct 28 2017,95536,333773,331374,182703,22530,3868,57282,99023,112105,31618,80487,37466,24901,169562,47305,122257,3682
1wk Nov 04 2017,97892,456622,454102,207665,26282,3438,65604,112341,125269,36175,89094,42237,29636,184323,48348,135975,7061
1wk Nov 11 2017,100103,381771,379920,197849,23926,4047,62120,107753,119998,34493,85505,40653,28273,190400,52734,137666,3503
1wk Nov 18 2017,101340,420970,418960,199530,23570,3885,64048,108019,121031,34933,86098,42376,27788,183186,49764,133422,3576
1wk Nov 25 2017,101378,383734,380723,190802,20766,3605,62944,103484,118463,32816,85647,39773,26600,177706,49259,128447,4234
1wk Dec 02 2017,113495,449703,446414,212524,24948,4585,70911,112077,133460,37592,95868,44761,29151,217471,55012,162459,4398
1wk Dec 09 2017,108850,456876,453332,223027,25228,5167,74506,118126,134558,38070,96488,46219,29656,210630,58642,151988,4195
1wk Dec 16 2017,102045,500001,496162,228328,24766,5044,80747,117771,147543,39448,108095,52717,33328,220241,65213,155028,4683
1wk Dec 23 2017,111976,811253,802788,321009,32521,7756,107499,173233,198498,52604,145894,78761,50250,353928,102821,251107,5854
1wk Dec 30 2017,71968,614729,610505,226992,21039,5509,86622,113822,148030,41520,106510,59203,39269,259908,79079,180829,5844
1wk Jan 06 2018,82849,419326,416658,187264,19241,4291,65789,97943,124613,34633,89980,40059,29406,184932,54251,130681,4120
1wk Jan 13 2018,89661,294170,291640,152553,15878,2978,47443,86254,101154,27726,73428,25855,19385,138356,36013,102343,3568
1wk Jan 20 2018,106530,291332,288605,158271,16316,3417,49366,89172,108439,30098,78341,26614,19994,157054,42731,114323,3413
1wk Jan 27 2018,103856,298549,296485,155387,16342,2936,48788,87321,106896,28011,78885,26953,20083,143443,38087,105356,2552
1wk Feb 03 2018,108061,356682,354864,183255,21516,3082,55826,102831,116728,30942,85786,33654,24000,159668,42474,117194,3912
1wk Feb 10 2018,103389,327111,325265,169514,19288,2617,52588,95021,111420,29392,82028,28443,21936,159315,40644,118671,2618
1wk Feb 17 2018,104997,342086,340435,168961,20120,3000,50780,95061,107132,28604,78528,29664,22102,176157,48801,127356,2859
1wk Feb 24 2018,102810,349733,347740,179996,20648,2362,54255,102731,107631,28851,78780,33744,24581,156040,42762,113278,5729
1wk Mar 03 2018,110416,328480,326250,171070,19723,2686,52809,95852,116797,31104,85693,32965,25640,175198,43157,132041,2883
